Author,Year,Group,Score Name,Number of patients,Raters,Time,Mean,Std
Bakhshayesh,2011,Treatment,German ADHD rating scale,18,Parents,pre,1.69,0.64
Bakhshayesh,2011,Treatment,German ADHD rating scale,18,Parents,post,1.07,0.41
Bakhshayesh,2011,Control,German ADHD rating scale,17,Parents,pre,1.51,0.47
Bakhshayesh,2011,Control,German ADHD rating scale,17,Parents,post,1.33,0.69
Bakhshayesh,2011,Treatment,German ADHD rating scale,18,Teachers,pre,1.38,0.74
Bakhshayesh,2011,Treatment,German ADHD rating scale,18,Teachers,post,1.04,0.53
Bakhshayesh,2011,Control,German ADHD rating scale,17,Teachers,pre,1.38,0.57
Bakhshayesh,2011,Control,German ADHD rating scale,17,Teachers,post,1.31,0.57
Christiansen ,2014,Treatment,Conners Parent Rating Scale,14,Parents,pre,10.64,6.35
Christiansen ,2014,Treatment,Conners Parent Rating Scale,14,Parents,post,7.71,6.28
Christiansen ,2014,Control,Conners Parent Rating Scale,14,Parents,pre,13.13,4.5
Christiansen ,2014,Control,Conners Parent Rating Scale,14,Parents,post,7,4.45
Christiansen ,2014,Treatment,Conners Teachers Rating Scale,15,Teachers,pre,11.71,4.71
Christiansen ,2014,Treatment,Conners Teachers Rating Scale,15,Teachers,post,7.43,5.04
Christiansen ,2014,Control,Conners Teachers Rating Scale,15,Teachers,pre,10.06,5.48
Christiansen ,2014,Control,Conners Teachers Rating Scale,15,Teachers,post,6.69,5.37
Gevenlesben,2009,Treatment,FBB HKS,59,Parents,pre,1.5,0.45
Gevenlesben,2009,Treatment,FBB HKS,59,Parents,post,1.11,0.37
Gevenlesben,2009,Control,FBB HKS,35,Parents,pre,1.49,0.5
Gevenlesben,2009,Control,FBB HKS,35,Parents,post,1.35,0.44
Gevenlesben,2009,Treatment,FBB HKS,59,Teachers,pre,1.25,0.59
Gevenlesben,2009,Treatment,FBB HKS,59,Teachers,post,0.96,0.33
Gevenlesben,2009,Control,FBB HKS,35,Teachers,pre,1.37,0.66
Gevenlesben,2009,Control,FBB HKS,35,Teachers,post,1.34,0.47
Beauregard,2006,Treatment,Conners Parent Rating Scale,15,Parents,pre,75.5,9.67
Beauregard,2006,Treatment,Conners Parent Rating Scale,15,Parents,post,61.6,14.3
Beauregard,2006,Control,Conners Parent Rating Scale,5,Parents,pre,74.8,9.9
Beauregard,2006,Control,Conners Parent Rating Scale,5,Parents,post,72.5,10.79
Holtmann,2009,Treatment,FBB HKS,20,Parents,pre,1.45,0.66
Holtmann,2009,Treatment,FBB HKS,20,Parents,post,1.25,0.61
Holtmann,2009,Control,FBB HKS,14,Parents,pre,1.35,0.6
Holtmann,2009,Control,FBB HKS,14,Parents,post,1.1,0.61
Heinrich,2004,Treatment,FBB HKS,13,Parents,pre,1.62,0.35
Heinrich,2004,Treatment,FBB HKS,13,Parents,post,1.23,0.45
Heinrich,2004,Control,FBB HKS,9,Parents,pre,1.72,0.51
Heinrich,2004,Control,FBB HKS,9,Parents,post,1.7,0.62
Strelh,2017,Treatment,German ADHD rating scale,72,Parents,pre,1.84,0.49
Strelh,2017,Treatment,German ADHD rating scale,73,Parents,post,1.49,0.55
Strelh,2017,Control,German ADHD rating scale,67,Parents,pre,1.78,0.47
Strelh,2017,Control,German ADHD rating scale,68,Parents,post,1.62,0.5
Strelh,2017,Treatment,German ADHD rating scale,65,Teachers,pre,1.48,0.64
Strelh,2017,Treatment,German ADHD rating scale,69,Teachers,post,1.34,0.68
Strelh,2017,Control,German ADHD rating scale,60,Teachers,pre,1.38,0.71
Strelh,2017,Control,German ADHD rating scale,61,Teachers,post,1.32,0.71
Baumeister,2016,Treatment,DISYPS questionnaires,8,Parents,pre,1.48,0.53
Baumeister,2016,Treatment,DISYPS questionnaires,8,Parents,post,1.09,0.61
Baumeister,2016,Control,DISYPS questionnaires,8,Parents,pre,1,0.64
Baumeister,2016,Control,DISYPS questionnaires,8,Parents,post,1.17,0.72
Linden,1996,Treatment,IOWA Conners,9,Parents,pre,8.495,2.16
Linden,1996,Treatment,IOWA Conners,9,Parents,post,5.555,2.16
Linden,1996,Control,IOWA Conners,9,Parents,pre,10.225,2.16
Linden,1996,Control,IOWA Conners,9,Parents,post,9.945,2.16
