Author,Year,Group,Score Name,Number of patients,Raters,Time,Mean,Std,,,,,,,
Bakhshayesh,2011,Treatment,German ADHD rating scale,18,Parents,pre,1.98,0.79,,,,,,,
Bakhshayesh,2011,Treatment,German ADHD rating scale,18,Parents,post,1.4,0.61,,,,,,,
Bakhshayesh,2011,Control,German ADHD rating scale,17,Parents,pre,1.71,0.58,,,,,,,
Bakhshayesh,2011,Control,German ADHD rating scale,17,Parents,post,1.76,0.67,,,,,,,
Bakhshayesh,2011,Treatment,German ADHD rating scale,18,Teachers,pre,1.42,1.12,,,,,,,
Bakhshayesh,2011,Treatment,German ADHD rating scale,18,Teachers,post,0.92,0.81,,,,,,,
Bakhshayesh,2011,Control,German ADHD rating scale,17,Teachers,pre,1.06,0.78,,,,,,,
Bakhshayesh,2011,Control,German ADHD rating scale,17,Teachers,post,1.06,0.53,,,,,,,
Beauregard,2006,Treatment,Conners Parent Rating Scale,15,Parents,pre,71.6,8.4,,,,,,,
Beauregard,2006,Treatment,Conners Parent Rating Scale,15,Parents,post,58.9,7.2,,,,,,,
Beauregard,2006,Control,Conners Parent Rating Scale,5,Parents,pre,73.4,9.9,,,,,,,
Beauregard,2006,Control,Conners Parent Rating Scale,5,Parents,post,71.2,12.1,,,,,,,
Bink,2014,Treatment,ADHD rating scale self report,45,Parents,pre,4.4,2.94,,,,,,,
Bink,2014,Treatment,ADHD rating scale self report,45,Parents,post,2.84,2.59,,,,,,,
Bink,2014,Control,ADHD rating scale self report,26,Parents,pre,5.27,2.16,,,,,,,
Bink,2014,Control,ADHD rating scale self report,26,Parents,post,3.62,2.45,,,,,,,
Gevenlesben,2009,Treatment,FBB HKS,59,Parents,pre,1.97,0.51,,,,,,,
Gevenlesben,2009,Treatment,FBB HKS,59,Parents,post,1.49,0.47,,,,,,,
Gevenlesben,2009,Control,FBB HKS,35,Parents,pre,1.83,0.52,,,,,,,
Gevenlesben,2009,Control,FBB HKS,35,Parents,post,1.64,0.55,,,,,,,
Gevenlesben,2009,Treatment,FBB HKS,59,Teachers,pre,1.71,0.62,,,,,,,
Gevenlesben,2009,Treatment,FBB HKS,59,Teachers,post,1.36,0.51,,,,,,,
Gevenlesben,2009,Control,FBB HKS,35,Teachers,pre,1.75,0.59,,,,,,,
Gevenlesben,2009,Control,FBB HKS,35,Teachers,post,1.69,0.64,,,,,,,
Maurizio,2014,Treatment,Conners Parent Rating Scale,13,Parents,pre,20.5,4.8,,,,,,,
Maurizio,2014,Treatment,Conners Parent Rating Scale,13,Parents,post,15.1,5.6,,,,,,,
Maurizio,2014,Control,Conners Parent Rating Scale,12,Parents,pre,18,4.8,,,,,,,
Maurizio,2014,Control,Conners Parent Rating Scale,12,Parents,post,14.4,4.3,,,,,,,
Maurizio,2014,Treatment,Conners Teachers Rating Scale,13,Teachers,pre,14.2,4.6,,,,,,,
Maurizio,2014,Treatment,Conners Teachers Rating Scale,13,Teachers,post,14.3,5.4,,,,,,,
Maurizio,2014,Control,Conners Teachers Rating Scale,12,Teachers,pre,18.1,6.6,,,,,,,
Maurizio,2014,Control,Conners Teachers Rating Scale,12,Teachers,post,16.8,6.1,,,,,,,
Holtmann,2009,Treatment,FBB HKS,20,Parents,pre,1.7,0.5,,,,,,,
Holtmann,2009,Treatment,FBB HKS,20,Parents,post,1.4,0.5,,,,,,,
Holtmann,2009,Control,FBB HKS,14,Parents,pre,1.7,0.5,,,,,,,
Holtmann,2009,Control,FBB HKS,14,Parents,post,1.2,0.5,,,,,,,
Steiner2014,2014,Treatment,Conners 3-Parents,34,Parents,pre,80.07,10.77,,,,,,,
Steiner2014,2014,Treatment,Conners 3-Parents,34,Parents,post,71.43,10.79,,,,,,,
Steiner2014,2014,Control,Conners 3-Parents,36,Parents,pre,76.72,10.02,,,,,,,
Steiner2014,2014,Control,Conners 3-Parents,36,Parents,post,75.16,10.47,,,,,,,
Steiner2014,2014,Treatment,Conners 3-Teachers,34,Teachers,pre,68.38,11.72,,BOSS Classroom Observation,34,Teachers,pre,6.5,5.12
Steiner2014,2014,Treatment,Conners 3-Teachers,34,Teachers,post,65.46,11.56,,BOSS Classroom Observation,34,Teachers,post,5.6,6.55
Steiner2014,2014,Control,Conners 3-Teachers,36,Teachers,pre,68.14,10.38,,BOSS Classroom Observation,36,Teachers,pre,8.41,7.81
Steiner2014,2014,Control,Conners 3-Teachers,36,Teachers,post,68.17,10.61,,BOSS Classroom Observation,36,Teachers,post,4.78,4.98
VanDongen,2013,Treatment,ADHD rating scale,22,Parents,pre,17,5.1,,,,,,,
VanDongen,2013,Treatment,ADHD rating scale,22,Parents,post,13.2,6,,,,,,,
