Author,Year,Group,Score Name,Number of patients,Raters,Time,Mean,Std,,,,,,,
Bakhshayesh,2011,NFB,German ADHD rating scale,18,Parents,pre,1.69,0.64,,,,,,,
Bakhshayesh,2011,NFB,German ADHD rating scale,18,Parents,post,1.07,0.41,,,,,,,
Bakhshayesh,2011,Control,German ADHD rating scale,17,Parents,pre,1.51,0.47,,,,,,,
Bakhshayesh,2011,Control,German ADHD rating scale,17,Parents,post,1.33,0.69,,,,,,,
Bakhshayesh,2011,NFB,German ADHD rating scale,18,Teachers,pre,1.38,0.74,,,,,,,
Bakhshayesh,2011,NFB,German ADHD rating scale,18,Teachers,post,1.04,0.53,,,,,,,
Bakhshayesh,2011,Control,German ADHD rating scale,17,Teachers,pre,1.38,0.57,,,,,,,
Bakhshayesh,2011,Control,German ADHD rating scale,17,Teachers,post,1.31,0.57,,,,,,,
Beauregard,2006,NFB,Conners Parent Rating Scale,15,Parents,pre,75.5,9.67,,,,,,,
Beauregard,2006,NFB,Conners Parent Rating Scale,15,Parents,post,61.6,14.3,,,,,,,
Beauregard,2006,Control,Conners Parent Rating Scale,5,Parents,pre,74.6,9.9,,,,,,,
Beauregard,2006,Control,Conners Parent Rating Scale,5,Parents,post,72.5,10.79,,,,,,,
Bink,2014,NFB,ADHD rating scale self report,45,Parents,pre,7.84,3.27,,,,,,,
Bink,2014,NFB,ADHD rating scale self report,45,Parents,post,5.2,3.37,,,,,,,
Bink,2014,Control,ADHD rating scale self report,26,Parents,pre,8.54,2.95,,,,,,,
Bink,2014,Control,ADHD rating scale self report,26,Parents,post,6,3.25,,,,,,,
Christiansen ,2014,NFB,Conners 3-Parents,14,Parents,pre,10.64,6.35,,,,,,,
Christiansen ,2014,NFB,Conners 3-Parents,14,Parents,post,7.71,6.28,,,,,,,
Christiansen ,2014,Control,Conners 3-Parents,14,Parents,pre,13.13,4.5,,,,,,,
Christiansen ,2014,Control,Conners 3-Parents,14,Parents,post,7,4.45,,,,,,,
Christiansen ,2014,NFB,Conners-3 Teachers,15,Teachers,pre,11.71,4.71,,,,,,,
Christiansen ,2014,NFB,Conners-3 Teachers,15,Teachers,post,7.43,5.04,,,,,,,
Christiansen ,2014,Control,Conners-3 Teachers,15,Teachers,pre,10.06,5.48,,,,,,,
Christiansen ,2014,Control,Conners-3 Teachers,15,Teachers,post,6.69,5.37,,,,,,,
Gevenlesben,2009,NFB,FBB HKS,59,Parents,pre,1.5,0.45,,,,,,,
Gevenlesben,2009,NFB,FBB HKS,59,Parents,post,1.11,0.37,,,,,,,
Gevenlesben,2009,Control,FBB HKS,35,Parents,pre,1.49,0.5,,,,,,,
Gevenlesben,2009,Control,FBB HKS,35,Parents,post,1.35,0.44,,,,,,,
Gevenlesben,2009,NFB,FBB HKS,59,Teachers,pre,1.25,0.59,,,,,,,
Gevenlesben,2009,NFB,FBB HKS,59,Teachers,post,0.96,0.33,,,,,,,
Gevenlesben,2009,Control,FBB HKS,35,Teachers,pre,1.37,0.66,,,,,,,
Gevenlesben,2009,Control,FBB HKS,35,Teachers,post,1.34,0.47,,,,,,,
Heinrich,2004,NFB,FBB HKS,13,Parents,pre,1.62,0.35,,,,,,,
Heinrich,2004,NFB,FBB HKS,13,Parents,post,1.23,0.45,,,,,,,
Heinrich,2004,Control,FBB HKS,9,Parents,pre,1.72,0.51,,,,,,,
Heinrich,2004,Control,FBB HKS,9,Parents,post,1.7,0.62,,,,,,,
Maurizio,2014,NFB,Conners Parent Rating Scale,13,Parents,pre,35.5,7.3,,,,,,,
Maurizio,2014,NFB,Conners Parent Rating Scale,13,Parents,post,25.5,9.4,,,,,,,
Maurizio,2014,Control,Conners Parent Rating Scale,12,Parents,pre,33,9.2,,,,,,,
Maurizio,2014,Control,Conners Parent Rating Scale,12,Parents,post,25.8,7.4,,,,,,,
Maurizio,2014,NFB,Conners Teachers Rating Scale,13,Teachers,pre,25.1,10.2,,,,,,,
Maurizio,2014,NFB,Conners Teachers Rating Scale,13,Teachers,post,23.5,8.2,,,,,,,
Maurizio,2014,Control,Conners Teachers Rating Scale,12,Teachers,pre,34.5,10.9,,,,,,,
Maurizio,2014,Control,Conners Teachers Rating Scale,12,Teachers,post,31.8,11.9,,,,,,,
VanDongen,2013,NFB,ADHD rating scale,22,Parents,pre,30.6,7.5,,,,,,,
VanDongen,2013,NFB,ADHD rating scale,22,Parents,post,23.4,9.5,,,,,,,
VanDongen,2013,Control,ADHD rating scale,19,Parents,pre,32,9.6,,,,,,,
VanDongen,2013,Control,ADHD rating scale,19,Parents,post,26.3,7.2,,,,,,,
VanDongen,2013,NFB,ADHD rating scale,22,Teachers,pre,23.6,14.8,,,,,,,
VanDongen,2013,NFB,ADHD rating scale,17,Teachers,post,19.3,11.4,,,,,,,
VanDongen,2013,Control,ADHD rating scale,19,Teachers,pre,25.2,12.5,,,,,,,
VanDongen,2013,Control,ADHD rating scale,15,Teachers,post,18.9,10.2,,,,,,,
Steiner2014,2014,NFB,Conners 3-Parents,34,Parents,pre,78.5,12.84,,,,,,,
Steiner2014,2014,NFB,Conners 3-Parents,34,Parents,post,72.1,12.71,,,,,,,
Steiner2014,2014,Control,Conners 3-Parents,36,Parents,pre,76.88,12.23,,,,,,,
Steiner2014,2014,Control,Conners 3-Parents,36,Parents,post,75.3,12.65,,,,,,,
Steiner2014,2014,NFB,Conners 3-Teachers,34,Teachers,pre,69.97,14.71,,BOSS Classroom,34,Teachers,pre,36.67,12.95
