Author,Year,Score Name,Number of patients,Raters,Time,Mean,Std,Probably Blind,Number of sessions,SMR,Beta up central,Theta up,Theta down,Beta up frontal,SCP,On drugs during NFB/assessments,Age min,Age max,Randomization,Institutional Review Board,Transfer phase,Transfer card,EOG correction,Artifact correction based on amplitude,Thresholding,Session pace (per week),Session length (min),Treatment length (weeks),>1 active electrode,EEG quality,Control group
Arnold,2013,SNAP IV,26,Parents,pre,1.91,0.51,no,40,yes,yes,no,yes,no,no,no,6,12,yes,no,no,no,no,no,incremental,3,45,13,no,one,yes
Arnold,2013,SNAP IV,26,Parents,post,1.56,0.7,no,40,yes,yes,no,yes,no,no,no,6,12,yes,no,no,no,no,no,incremental,3,45,13,no,one,yes
Arnold,2013,SNAP IV,26,Teachers,pre,1.82,0.7,yes,40,yes,yes,no,yes,no,no,no,6,12,yes,no,no,no,no,no,incremental,3,45,13,no,one,yes
Arnold,2013,SNAP IV,26,Teachers,post,1.59,0.69,yes,40,yes,yes,no,yes,no,no,no,6,12,yes,no,no,no,no,no,incremental,3,45,13,no,one,yes
Arnold,2013,Conners,26,Parents,pre,1.93,0.54,no,40,yes,yes,no,yes,no,no,no,6,12,yes,no,no,no,no,no,incremental,3,45,13,no,one,yes
Arnold,2013,Conners,26,Parents,post,1.61,0.58,no,40,yes,yes,no,yes,no,no,no,6,12,yes,no,no,no,no,no,incremental,3,45,13,no,one,yes
Arnold,2013,Conners,26,Teachers,pre,1.71,0.74,yes,40,yes,yes,no,yes,no,no,no,6,12,yes,no,no,no,no,no,incremental,3,45,13,no,one,yes
Arnold,2013,Conners,26,Teachers,post,1.6,0.7,yes,40,yes,yes,no,yes,no,no,no,6,12,yes,no,no,no,no,no,incremental,3,45,13,no,one,yes
Bakhshayesh,2011,German ADHD rating scale,18,Parents,pre,1.69,0.64,no,30,no,no,no,yes,yes,no,yes,6,14,yes,yes,no,no,no,no,fixed,2.5,30,15,yes,three,yes
Bakhshayesh,2011,German ADHD rating scale,18,Parents,post,1.07,0.41,no,30,no,no,no,yes,yes,no,yes,6,14,yes,yes,no,no,no,no,fixed,2.5,30,15,yes,three,yes
